comment_id,article_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes
AL20240927101900-226421,AL20240927101900,Massanenc,Fa 11 hores,,"Marticella, una gran persona. Rés a veure amb els taurons de l'altra vall. A la MASSANA t'apreciem. SETAP365, una societat creada per arruinar Pal Arinsal i deixar-la sense clients. Srs. Consols de La Massana que espereu fer ara que ja no teniu ni un ull en el qué farà SETAP365. De moment el mundials de mountainbike s'han fet a Pal 2 vegades, el mundial d'esquí encara l'esperen a l'altra vall. Ridícul tot plegat",,19,6
AL20240927101900-226400,AL20240927101900,Forever,Fa 13 hores,,"Que tornin a posar la crepería a Pal, aixo es lo que han de fer. Millor chiringuito de l estacio.",,26,0
AL20240927101900-226417,AL20240927101900,Absolutament d’acord,Fa 11 hores,,Totalment d’acord!! Cap altre xiringuito pot reemplaçar la crepe i tot el seu personal.,,9,0
AL20240927101900-226388,AL20240927101900,propera estació,Fa 15 hores,,a veure quin serà el proper destí...,,11,2
AL20240927101900-226377,AL20240927101900,Talavera for ever,Fa 15 hores,,Ahora se entiende el fichaje de Chuchy,,8,1
AL20240927101900-226371,AL20240927101900,Adeu,Fa 17 hores,,Un gestor terrible que ha cremat tot i a tothom que ha tingut a prop.,,44,21
AL20240927101900-226370,AL20240927101900,Toni,Fa 17 hores,,"Ara si que anem bé a La Massana, si manen aquests dos ja podem anar tancant... Espero que el Comú de la Massana hi digui alguna cosa al respecte.",,23,7
AL20240927101900-226365,AL20240927101900,Pep,Fa 17 hores,,Vaja tela.. Estem venuts,,23,4
AL20240927101900-226364,AL20240927101900,Santi,Fa 17 hores,,"El monopolio de l’imperi Vilad en modo atac, així va el país amb els monopolis en tots els sectors amb els 4 terratinents",,24,4
AL20240927101900-226351,AL20240927101900,Lluís P.,Fa 18 hores,,"Ells s'ho perden. SI no hi hagués hgut el Marticella, Pal-Arinsal hagués tancat fa molts anys. Sort hem tingut. El mon de la neu ha perdut tant talent els últims anys... I vist lo vist, més que en perdrà. Al final tot el país quedarà en mans de dos bancs!!! Com si no ho veiéssim!!! Ni Hidalgos, ni Ventajas, Crèdit i Mora!!! Treiem-nos el vel que ens cega a tots en aquest país!!!",,44,31
AL20240927101900-226339,AL20240927101900,Txavier,Fa 19 hores,,Un inútil menys. Que el màxim que ha fet es estavallarse una rere un altre Marxa ara perquè els últims deu anys ha enfonsat la estació i el Mundial es la seva ultima gran catàstrofe  Et desitgem molta sort,,29,57
AL20240927101900-226337,AL20240927101900,Massanenc,Fa 19 hores,,"Canillo ja ho ha conseguit, ara manen a la Massana...",,49,3
AL20240927094400-226356,AL20240927094400,Usuario,Fa 18 hores,,Si son de fuera ni se les multa pueden hacer lo que quieran para que otra vez vengan a comprar y no se enfaden,,3,2
AL20240927091300-226393,AL20240927091300,Sr Bisbeee,Fa 13 hores,,Doncs Andorra prohibeix els pisos de final feliz.I a la Seu n està plé.Foteu riure,,2,1
AL20240927091300-226376,AL20240927091300,jose luis,Fa 15 hores,,"Vull que algú m'expliqui el que aquestes dones demanen, si tota la culpa és d'elles per quedar-se prenyades i no prendre mesures, jo crec que els altres no els hem de pagar l'avortament si la culpa és d'elles.",,8,13
AL20240927091300-226394,AL20240927091300,CLAR QUE SI HOME!,Fa 13 hores,,"Perquè la dona es queda prenyada sola, no? Per què les mesures anticonceptives l'ha de prendre la dona i no pas l'home? A part, l'avortament no només és per un embaràs no desitjat, també és per malformació del fetus, també és perquè la vida del nadó i de la dona pot corre risc, també per violacions perquè si rei, aquí al país també passa això. A veure sí, surti'm una mica d'aquesta borbolla. Si almenys fos legal... ja seria un gran pas.",,6,3
AL20240927091300-226372,AL20240927091300,Aneu al vostre país!,Fa 17 hores,,"Quina mandra escoltar sempre el mateix! Torneu a casa vostra, colla de feministes, i no molesteu a Andorra. Andorra té unes lleis i no es canviaran per quatre ""fulanes"" que volen que els governs els hi paguin acabar amb el fruit dels seus actes sexuals. A Andorra és defensa la vida i no s'assassina ningú perquè les ""mares"" prefereixin anar de llit en llit que ocupar-se dels seus fills, malgrat no sàpiguin ni qui són els seus pares... Prou avortaments, prou feministes, prou immigrants. A Andorra els andorrans sempre hem viscut bé fins que ha arribat tanta xusma d'importació.",,17,24
AL20240927091300-226433,AL20240927091300,Molt trist has d'estar,Fa 8 hores,,"No estic a favor de l'avortament però així i tot, llegint el teu comentari em causa vomitera amb l'odi que despre'ns. Has de ser una persona menyspreable.  Ves-te´n a la cova, allà estaràs tranquil",,2,0
AL20240927091300-226344,AL20240927091300,Carme,Fa 18 hores,,Bé que Andorra s'ha de fer càrrec d'un munt d'alturgellencs a nivell sanitari! i dubto molt que gaira gent acudeixi a la Seu per practicar un avortament.,,15,13
