index,comment_id,article_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes,article_type,topic,article_title,input_text
10,AL20240926204600-226302,AL20240926204600,Mufló,Fa 2 dies,,"Aquest personatge no coneix l'humiltat. Donde no hay, no busques que en diuen.",,10.0,0.0,article,UE,Espot confia en el suport d’Espanya i Portugal per evitar que l’acord d’associació es declari mixt,"[ARTICLE TITLE] Espot confia en el suport d’Espanya i Portugal per evitar que l’acord d’associació es declari mixt Aquest personatge no coneix l'humiltat. Donde no hay, no busques que en diuen."
11,AL20240925104400-226194,AL20240925104400,Sr Bisbeee,Fa 3 dies,,Algú del club s ha forrat amb aquestes pantalles.Encara més motiu per votar NO....Cada cop.ens ho fiqueu més fàcil.,,2.0,0.0,article,UE,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,[ARTICLE TITLE] Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació Algú del club s ha forrat amb aquestes pantalles.Encara més motiu per votar NO....Cada cop.ens ho fiqueu més fàcil.
12,AL20240925104400-226192,AL20240925104400,Altres quotes de l'UE,Fa 3 dies,,"I seguim amb les despeses innecessàries... Realment cal forçar tant? On comença i acaba tota aquesta coacció que està promovent el Govern de DA? Cal aquesta estigmatizació per tota la gent que decidim que no volem o no estem d'acord amb com s'ha dut a terme tot aquest procès? El rol del polític no es el de procurar el benestar del poble? Amb que ens beneficia aquesta partida pressupostària? Deixeu de condicionar-nos i deixeu que la població voti de manera lliure i sense estar coaccionats...   Entenc que us salvarà a vosaltres el fet d'entrar perquè hipotecareu de per vida un país de 80000 persones, però la gran majoria diem NO! Que malament ho heu de fer per dependre d'entitats supranacionals, tenint en compte que Andorra viuen 80000 persones com a molt... Patètic!",,2.0,0.0,article,UE,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,"[ARTICLE TITLE] Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació I seguim amb les despeses innecessàries... Realment cal forçar tant? On comença i acaba tota aquesta coacció que està promovent el Govern de DA? Cal aquesta estigmatizació per tota la gent que decidim que no volem o no estem d'acord amb com s'ha dut a terme tot aquest procès? El rol del polític no es el de procurar el benestar del poble? Amb que ens beneficia aquesta partida pressupostària? Deixeu de condicionar-nos i deixeu que la població voti de manera lliure i sense estar coaccionats...   Entenc que us salvarà a vosaltres el fet d'entrar perquè hipotecareu de per vida un país de 80000 persones, però la gran majoria diem NO! Que malament ho heu de fer per dependre d'entitats supranacionals, tenint en compte que Andorra viuen 80000 persones com a molt... Patètic!"
13,AL20240925104400-226162,AL20240925104400,Lampista,Fa 3 dies,,El peix ja está venut desde fa dos anys,,4.0,1.0,article,UE,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,[ARTICLE TITLE] Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació El peix ja está venut desde fa dos anys
14,AL20240925104400-226100,AL20240925104400,Indignat,Fa 4 dies,,"és clar clar i després diuen que tenim cadascun de nosaltres un deute de 15.000 €, per pagar aquestes coses i la merda de font del Pont de la Tosca",,12.0,3.0,article,UE,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,"[ARTICLE TITLE] Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació és clar clar i després diuen que tenim cadascun de nosaltres un deute de 15.000 €, per pagar aquestes coses i la merda de font del Pont de la Tosca"
15,AL20240925104400-226088,AL20240925104400,Observador,Fa 4 dies,,"Si surt ""NO"" QUI ens to4nara els dinera nostres? I xk un stand x vendre el.si i no una x vendre el no? Xk fan servir els meus diners x comprar vots parcialment? Si es fa una partida ha de ser tant x el si com x el.no. per mi aixo es delicte",,13.0,3.0,article,UE,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,"[ARTICLE TITLE] Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació Si surt ""NO"" QUI ens to4nara els dinera nostres? I xk un stand x vendre el.si i no una x vendre el no? Xk fan servir els meus diners x comprar vots parcialment? Si es fa una partida ha de ser tant x el si com x el.no. per mi aixo es delicte"
16,AL20240925104400-226084,AL20240925104400,fart de tot,Fa 4 dies,,"Senyors, senyores.....no ens compliquem més l'existència, allò ja está establert.......es fará......referendum si referendum no.....es farà....ja li trobarán la volta a la cosa per a que es faci si o si. I mutis i a la gàbia.",,10.0,1.0,article,UE,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,"[ARTICLE TITLE] Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació Senyors, senyores.....no ens compliquem més l'existència, allò ja está establert.......es fará......referendum si referendum no.....es farà....ja li trobarán la volta a la cosa per a que es faci si o si. I mutis i a la gàbia."
17,AL20240925104400-226060,AL20240925104400,Carles,Fa 4 dies,,"Ja nomes falta que treguin partida publica per comprar vots, no te limits l'afany de ""convencer"" cada dia genereu mes neguit amb tant interes que demostren alguns.",,22.0,2.0,article,UE,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,"[ARTICLE TITLE] Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació Ja nomes falta que treguin partida publica per comprar vots, no te limits l'afany de ""convencer"" cada dia genereu mes neguit amb tant interes que demostren alguns."
18,AL20240925104400-226023,AL20240925104400,toni,Fa 4 dies,,"La Carine no podria demanar quin és el cost de tot aquest procés? viatges del Landri + acompanyants, secretaris, departament, advocats, assessors, etc... sisplau... més transparència... la festa ens està sortint molt cara... Tot per a que els nostres fills puguin fer ERASMUS, o si un andorrà viatja a Finlandia i es fa mal que li cobreixi la Seguretat Social...",,26.0,5.0,article,UE,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,"[ARTICLE TITLE] Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació La Carine no podria demanar quin és el cost de tot aquest procés? viatges del Landri + acompanyants, secretaris, departament, advocats, assessors, etc... sisplau... més transparència... la festa ens està sortint molt cara... Tot per a que els nostres fills puguin fer ERASMUS, o si un andorrà viatja a Finlandia i es fa mal que li cobreixi la Seguretat Social..."
19,AL20240925104400-226010,AL20240925104400,"SENSE CAP PUDOR, A LO GRANDE QUE JA PAGA EL POBLE.",Fa 4 dies,,"Per això sí que hi ha calés eh, ara per donar cobertura sanitària a gent gran que ha perdut la feina per això ni un euro, i aquesta merda de pantalles que no servirà per res i ens costa un ronyó i part del altre tot pagat de les nostres butxaques, ESTEU FETS UNS GALTES DE CUIDADO",,28.0,1.0,article,UE,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,"[ARTICLE TITLE] Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació Per això sí que hi ha calés eh, ara per donar cobertura sanitària a gent gran que ha perdut la feina per això ni un euro, i aquesta merda de pantalles que no servirà per res i ens costa un ronyó i part del altre tot pagat de les nostres butxaques, ESTEU FETS UNS GALTES DE CUIDADO"
20,AL20240925104400-226008,AL20240925104400,Bojos ?,Fa 4 dies,,Però que ens hem tornat bojos ?? Ens hem gastat 175.000€ en això ?? Valga'm Déu !! De qui ha estat aquesta idea ?? Qui ha autoritzat aquesta bestiesa ?? ... No pot ser ... la noticia deu estar equivodada !!,,30.0,1.0,article,UE,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,[ARTICLE TITLE] Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació Però que ens hem tornat bojos ?? Ens hem gastat 175.000€ en això ?? Valga'm Déu !! De qui ha estat aquesta idea ?? Qui ha autoritzat aquesta bestiesa ?? ... No pot ser ... la noticia deu estar equivodada !!
21,AL20240925104400-226007,AL20240925104400,Comisionistes,Fa 4 dies,,Aquí algú s’ha embutxacat una bona morterada d’euros.,,24.0,1.0,article,UE,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,[ARTICLE TITLE] Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació Aquí algú s’ha embutxacat una bona morterada d’euros.
22,AL20240925104400-226042,AL20240925104400,oscar,Fa 4 dies,,"Si, segurament el de les pantalles :-). A saber perqué.",,20.0,1.0,article,UE,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,"[ARTICLE TITLE] Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació Si, segurament el de les pantalles :-). A saber perqué."
23,AL20240925104400-226006,AL20240925104400,Pep,Fa 4 dies,,Que maco tot.. Al mirar-se al matí al mirall no tenen remordiments aquesta gent?,,21.0,1.0,article,UE,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,[ARTICLE TITLE] Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació Que maco tot.. Al mirar-se al matí al mirall no tenen remordiments aquesta gent?
24,AL20240925104400-226005,AL20240925104400,Serà per pressupost!,Fa 4 dies,,El que fàci falta,,18.0,0.0,article,UE,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,[ARTICLE TITLE] Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació El que fàci falta
25,AL20240925104400-226004,AL20240925104400,miquel,Fa 4 dies,,Gasto el que representara l associacio  3 milions euros anuals fixos per mantindre rasca panxes inutils.. no UE    NO ...,,22.0,1.0,article,UE,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,[ARTICLE TITLE] Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació Gasto el que representara l associacio  3 milions euros anuals fixos per mantindre rasca panxes inutils.. no UE    NO ...
26,AL20240925104400-225981,AL20240925104400,Andorrà,Fa 4 dies,,Encara ni hem votat i ja comença el despilfarro de diner públic… quin negoci per als 4 de sempre serà aixo de l’associació amb la UE,,59.0,8.0,article,UE,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,[ARTICLE TITLE] Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació Encara ni hem votat i ja comença el despilfarro de diner públic… quin negoci per als 4 de sempre serà aixo de l’associació amb la UE
27,AL20240925104400-226031,AL20240925104400,Pol,Fa 4 dies,,"El diners públics que ja s'han destinat fins a la data per l'Acord d'Associació, que encara el poble no ha decidit si votarà a favor, és moltíssim més del que costen aquestes pantalles...",,20.0,1.0,article,UE,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,"[ARTICLE TITLE] Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació El diners públics que ja s'han destinat fins a la data per l'Acord d'Associació, que encara el poble no ha decidit si votarà a favor, és moltíssim més del que costen aquestes pantalles..."
28,AL20240920205600-225541,AL20240920205600,Bridgerton,Fa 5 dies,,"Si guanya el si, enviaran tots els immigrats arribats en cayuco a Canàries. S'ha de repartir la merda o pobresa. Pero riquesa tranquils que no arribarà",,0.0,0.0,article,UE,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”,"[ARTICLE TITLE] L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració” Si guanya el si, enviaran tots els immigrats arribats en cayuco a Canàries. S'ha de repartir la merda o pobresa. Pero riquesa tranquils que no arribarà"
29,AL20240920205600-225523,AL20240920205600,Xavier,Fa 5 dies,,"Parole,parole,parole i amenaces , aquí l.unic que no es una incertesa  es que nomes en sortiran beneficiats els 4 que es pensen que el país es seu i han fet les institucions corruptes plenes de ventres agraits i en deute . Jo que no estic aquí i he patit la corruptela pública votaré NO pero no hem faig cap il.lusio que l.acord s.aplicara igual pero segurament d.una forma diferent si surt el NO.",,0.0,0.0,article,UE,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”,"[ARTICLE TITLE] L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració” Parole,parole,parole i amenaces , aquí l.unic que no es una incertesa  es que nomes en sortiran beneficiats els 4 que es pensen que el país es seu i han fet les institucions corruptes plenes de ventres agraits i en deute . Jo que no estic aquí i he patit la corruptela pública votaré NO pero no hem faig cap il.lusio que l.acord s.aplicara igual pero segurament d.una forma diferent si surt el NO."
30,AL20240920205600-225528,AL20240920205600,Lia,Fa 6 dies,,"Andorra amb les seves particularitats ha arribat on és per la seva personalitat , propia i única, sols sense ningú, no deixem de perdre la nostra identitat, fem acords de col.laboració, portem les coses al nostre terreny, no ens venguem a Europa,haurem de fer els que ens impossin i manem nosaltres, reflexioneu!!!!",,2.0,0.0,article,UE,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”,"[ARTICLE TITLE] L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració” Andorra amb les seves particularitats ha arribat on és per la seva personalitat , propia i única, sols sense ningú, no deixem de perdre la nostra identitat, fem acords de col.laboració, portem les coses al nostre terreny, no ens venguem a Europa,haurem de fer els que ens impossin i manem nosaltres, reflexioneu!!!!"
31,AL20240920205600-225466,AL20240920205600,Isisí,Fa 6 dies,,El tsunami d inmigració ja el tením.Lo següent serà l ' invasió extraterrestre,,10.0,0.0,article,UE,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”,[ARTICLE TITLE] L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració” El tsunami d inmigració ja el tením.Lo següent serà l ' invasió extraterrestre
32,AL20240920205600-225462,AL20240920205600,Manuel de Falla,Fa 6 dies,,"El Petit Prince i la seva colla li han dit: Patrick, Patrick, sispli, explica a aquests infectes que no pertanyen al meu col-lectiu de palmeros que si no votan si al refrendum, l'oscurantisme d'apoderarà d'aquest petit país i ni la banca, els promotors immo, ni els ""grans"" empresaris podrem augmentar els nostres beneficis. Patrick, els hi has de fer por, por fi!",,9.0,0.0,article,UE,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”,"[ARTICLE TITLE] L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració” El Petit Prince i la seva colla li han dit: Patrick, Patrick, sispli, explica a aquests infectes que no pertanyen al meu col-lectiu de palmeros que si no votan si al refrendum, l'oscurantisme d'apoderarà d'aquest petit país i ni la banca, els promotors immo, ni els ""grans"" empresaris podrem augmentar els nostres beneficis. Patrick, els hi has de fer por, por fi!"
33,AL20240920205600-225446,AL20240920205600,Toni,Fa 2 dies,,Quedar fora de la construcció d’Europa?,,9.0,0.0,article,UE,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”,[ARTICLE TITLE] L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració” Quedar fora de la construcció d’Europa?
34,AL20240920205600-225464,AL20240920205600,.,Fa 1 dia,,"Doncs no ho sé si construcció o desconstrucció, com es descuidin comença una altra guerra als balcans..",,6.0,1.0,article,UE,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”,"[ARTICLE TITLE] L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració” Doncs no ho sé si construcció o desconstrucció, com es descuidin comença una altra guerra als balcans.."
35,AL20240920205600-225436,AL20240920205600,Maika,Fa 2 dies,,"Crec que vostè no pot tenir cap credibilitat en el que diu vist com està el seu país. No cal ser molt llest per predir en el que ens podem convertir mirant els paisos UE que ens envolten. A mes de la greu inseguretat ciutadana, la invasió de cultures que son l'oposat al respecte i la democracia, la burocracia que escanya la ciutadania treballadora i la que ens alimenta en favor de les grans corporacions... no, no son conspiracions.... ara ja no... la població es molt torpe i credula para cada cop desperta mes.... Inclus hem pogut apreciar com de belicista es el nostre coprincep que pretenia iniciar una guerra propia amb Russia.... A vegades dubto si ell i els demes dirigents pensen defensar el benestar del seu poble o tan sols atenen a interessos tercers que no son els generals. El que esta clar es que acceptant les seves regles haurem de convertir-nos en el sou vosaltres i a mes no tindrem el mes minim dret a oposar-nos a res del que decidiu. No es aixo una perdua total de sobirania o de vassallatge ferotge? Intenteu redreçar primer aquesta UE decadent i en agonia extrema, intenteu fer-la independent de l'actual amo america i si us en sortiu llavors en parlem.",,28.0,0.0,article,UE,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”,"[ARTICLE TITLE] L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració” Crec que vostè no pot tenir cap credibilitat en el que diu vist com està el seu país. No cal ser molt llest per predir en el que ens podem convertir mirant els paisos UE que ens envolten. A mes de la greu inseguretat ciutadana, la invasió de cultures que son l'oposat al respecte i la democracia, la burocracia que escanya la ciutadania treballadora i la que ens alimenta en favor de les grans corporacions... no, no son conspiracions.... ara ja no... la població es molt torpe i credula para cada cop desperta mes.... Inclus hem pogut apreciar com de belicista es el nostre coprincep que pretenia iniciar una guerra propia amb Russia.... A vegades dubto si ell i els demes dirigents pensen defensar el benestar del seu poble o tan sols atenen a interessos tercers que no son els generals. El que esta clar es que acceptant les seves regles haurem de convertir-nos en el sou vosaltres i a mes no tindrem el mes minim dret a oposar-nos a res del que decidiu. No es aixo una perdua total de sobirania o de vassallatge ferotge? Intenteu redreçar primer aquesta UE decadent i en agonia extrema, intenteu fer-la independent de l'actual amo america i si us en sortiu llavors en parlem."
