comment_id,comment_id,article_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes,search_term,article_title,input_text,predicted_label_code,predicted_label
12,DI20241006120400-20579975,DI20241006120400,Mark,"10/6/2024, 8:36:30 AM",2024-10-06 08:36:30,"Un d'aquests és de casa. Finca del 1947, casa pairal. Està buit perquè posar-lo en lloguer costa mes que comprar un de nou pels requisits de la cèdula. Ens el faran arreglar? Si és així qui ho pagarà? Estan sonats....",,,,Andorra,Andorra la Vella calcula en 230 els pisos buits a la parròquia,"[ARTICLE TITLE] Andorra la Vella calcula en 230 els pisos buits a la parròquia [COMMENT] Un d'aquests és de casa. Finca del 1947, casa pairal. Està buit perquè posar-lo en lloguer costa mes que comprar un de nou pels requisits de la cèdula. Ens el faran arreglar? Si és així qui ho pagarà? Estan sonats....",2.0,negative
13,DI20241006120400-20579885,DI20241006120400,Andorrà fart de mentides,"10/6/2024, 8:26:19 AM",2024-10-06 08:26:19,"N'hi han més, però segons aqui no se li toca el pis!... ja sabem cognoms.",,,,Andorra,Andorra la Vella calcula en 230 els pisos buits a la parròquia,"[ARTICLE TITLE] Andorra la Vella calcula en 230 els pisos buits a la parròquia [COMMENT] N'hi han més, però segons aqui no se li toca el pis!... ja sabem cognoms.",2.0,negative
14,DI20241006120400-20579382,DI20241006120400,Revolución,"10/6/2024, 7:29:02 AM",2024-10-06 07:29:02,Expropriese !! Viva la revolución Andorrana ! ,,,,Andorra,Andorra la Vella calcula en 230 els pisos buits a la parròquia,[ARTICLE TITLE] Andorra la Vella calcula en 230 els pisos buits a la parròquia [COMMENT] Expropriese !! Viva la revolución Andorrana ! ,2.0,negative
15,DI20241006120400-20581018,DI20241006120400,L,"10/6/2024, 10:17:31 AM",2024-10-06 10:17:31,Llegará calma ,20579382,,,Andorra,Andorra la Vella calcula en 230 els pisos buits a la parròquia,[ARTICLE TITLE] Andorra la Vella calcula en 230 els pisos buits a la parròquia [COMMENT] Llegará calma ,2.0,negative
16,DI20241006120400-20579045,DI20241006120400,T,"10/6/2024, 6:55:50 AM",2024-10-06 06:55:50,Es propiedad privada como si hay 10,,,,Andorra,Andorra la Vella calcula en 230 els pisos buits a la parròquia,[ARTICLE TITLE] Andorra la Vella calcula en 230 els pisos buits a la parròquia [COMMENT] Es propiedad privada como si hay 10,2.0,negative
17,DI20241006120400-20578642,DI20241006120400,Suicidi polític,"10/6/2024, 6:04:36 AM",2024-10-06 06:04:36,Suicidi Polític tal qual,,,,Andorra,Andorra la Vella calcula en 230 els pisos buits a la parròquia,[ARTICLE TITLE] Andorra la Vella calcula en 230 els pisos buits a la parròquia [COMMENT] Suicidi Polític tal qual,2.0,negative
18,DI20241006120400-20577842,DI20241006120400,La realitat,"10/6/2024, 4:28:28 AM",2024-10-06 04:28:28,230 plets,,,,Andorra,Andorra la Vella calcula en 230 els pisos buits a la parròquia,[ARTICLE TITLE] Andorra la Vella calcula en 230 els pisos buits a la parròquia [COMMENT] 230 plets,1.0,neutral
19,DI20241006120400-20577216,DI20241006120400,Comptes xaiets,"10/6/2024, 2:58:48 AM",2024-10-06 02:58:48,Feu les llistes que volgueu. Sperdreu les eleccipns es revocara la llei omnibus i tot aixo k feu haura sigut una perdua dd temps xk els andoerans no deixarem k cap politicutxo ens robi els nostres bens,,,,Andorra,Andorra la Vella calcula en 230 els pisos buits a la parròquia,[ARTICLE TITLE] Andorra la Vella calcula en 230 els pisos buits a la parròquia [COMMENT] Feu les llistes que volgueu. Sperdreu les eleccipns es revocara la llei omnibus i tot aixo k feu haura sigut una perdua dd temps xk els andoerans no deixarem k cap politicutxo ens robi els nostres bens,3.0,very-negative
20,DI20241006120400-20578253,DI20241006120400,Josep,"10/6/2024, 5:21:29 AM",2024-10-06 05:21:29,"Esta claro que por tu escritura y sintaxis,, no eres de los que tiene un piso!!!!!",20577216,,,Andorra,Andorra la Vella calcula en 230 els pisos buits a la parròquia,"[ARTICLE TITLE] Andorra la Vella calcula en 230 els pisos buits a la parròquia [COMMENT] Esta claro que por tu escritura y sintaxis,, no eres de los que tiene un piso!!!!!",2.0,negative
21,DI20241006120400-20579838,DI20241006120400,Andorrà,"10/6/2024, 8:21:28 AM",2024-10-06 08:21:28,Et sorpendríes de la de catetos que tenen un pis...,20578253,,,Andorra,Andorra la Vella calcula en 230 els pisos buits a la parròquia,[ARTICLE TITLE] Andorra la Vella calcula en 230 els pisos buits a la parròquia [COMMENT] Et sorpendríes de la de catetos que tenen un pis...,2.0,negative
22,DI20241006120400-20580118,DI20241006120400,Me meo,"10/6/2024, 8:50:34 AM",2024-10-06 08:50:34,I tú tant espavilat i sense tenir-ne cap,20579838,,,Andorra,Andorra la Vella calcula en 230 els pisos buits a la parròquia,[ARTICLE TITLE] Andorra la Vella calcula en 230 els pisos buits a la parròquia [COMMENT] I tú tant espavilat i sense tenir-ne cap,2.0,negative
23,DI20241006115600-20582222,DI20241006115600,Miquel taverner de gràcia,"10/6/2024, 11:37:06 AM",2024-10-06 11:37:06,Votaré aliança catalana proper cop ,,,,Andorra,La policia investiga una presumpta agressió xenòfoba,[ARTICLE TITLE] La policia investiga una presumpta agressió xenòfoba [COMMENT] Votaré aliança catalana proper cop ,2.0,negative
24,DI20241006115600-20583973,DI20241006115600,A cada poble n'hi ha un,"10/6/2024, 1:32:12 PM",2024-10-06 13:32:12,"Pero si no saps ni escriure, imaginat saber votar...",20582222,,,Andorra,La policia investiga una presumpta agressió xenòfoba,"[ARTICLE TITLE] La policia investiga una presumpta agressió xenòfoba [COMMENT] Pero si no saps ni escriure, imaginat saber votar...",2.0,negative
25,DI20241006115600-20579957,DI20241006115600,Gerardo,"10/6/2024, 8:35:10 AM",2024-10-06 08:35:10,Lo que los argentinos estos quieren es pasta gansa.,,,,Andorra,La policia investiga una presumpta agressió xenòfoba,[ARTICLE TITLE] La policia investiga una presumpta agressió xenòfoba [COMMENT] Lo que los argentinos estos quieren es pasta gansa.,2.0,negative
26,DI20241006115600-20577269,DI20241006115600,Txell,"10/6/2024, 3:06:55 AM",2024-10-06 03:06:55,"Noms i cognoms d aquesta gent, si son un perill pels ciutadans, aquest mati un grupet ha em va dir coses quan jo anave a treballar, tinc que aguantar aixo? On es la policia? Es fan els valents en grup, ja sabem que aixo vol dir que sols son uns cobards, una noia ja no pot anar tranquila pel pais",,,,Andorra,La policia investiga una presumpta agressió xenòfoba,"[ARTICLE TITLE] La policia investiga una presumpta agressió xenòfoba [COMMENT] Noms i cognoms d aquesta gent, si son un perill pels ciutadans, aquest mati un grupet ha em va dir coses quan jo anave a treballar, tinc que aguantar aixo? On es la policia? Es fan els valents en grup, ja sabem que aixo vol dir que sols son uns cobards, una noia ja no pot anar tranquila pel pais",3.0,very-negative
27,DI20241006115600-20575763,DI20241006115600,Qui la fa la paga,"10/5/2024, 10:43:21 PM",2024-10-05 22:43:21,"Una bona temporada a la Comella els faria pensar i meditar, juntament amb unes disculpes que haurien de ser públiques, en tots els medis de comunicació. ",,,,Andorra,La policia investiga una presumpta agressió xenòfoba,"[ARTICLE TITLE] La policia investiga una presumpta agressió xenòfoba [COMMENT] Una bona temporada a la Comella els faria pensar i meditar, juntament amb unes disculpes que haurien de ser públiques, en tots els medis de comunicació. ",3.0,very-negative
28,DI20241006115500-20586535,DI20241006115500,N,"10/6/2024, 9:09:21 PM",2024-10-06 21:09:21,"Vergonya de comentaris, tot té gènere per això s’ aplica la perspectiva de gènere us agradi o no. Per això la mejoría de dones son les que tenen cura del s fills. A no… que si no vull pagar pensió o els nens ja están granets i ja no donen feina, llavors demano compartida….",,,,Andorra,Dones maltractades reclamen més atenció i protecció per als fills,"[ARTICLE TITLE] Dones maltractades reclamen més atenció i protecció per als fills [COMMENT] Vergonya de comentaris, tot té gènere per això s’ aplica la perspectiva de gènere us agradi o no. Per això la mejoría de dones son les que tenen cura del s fills. A no… que si no vull pagar pensió o els nens ja están granets i ja no donen feina, llavors demano compartida….",1.0,neutral
29,DI20241006115500-20581328,DI20241006115500,Pere,"10/6/2024, 10:39:39 AM",2024-10-06 10:39:39,"I quan la dona maltracta als fills i al marit, què fem?.",,,,Andorra,Dones maltractades reclamen més atenció i protecció per als fills,"[ARTICLE TITLE] Dones maltractades reclamen més atenció i protecció per als fills [COMMENT] I quan la dona maltracta als fills i al marit, què fem?.",2.0,negative
30,DI20241006115500-20579948,DI20241006115500,Gerardo,"10/6/2024, 8:33:35 AM",2024-10-06 08:33:35,Dicho de otro modo:  quieren más dinerito.  ,,,,Andorra,Dones maltractades reclamen més atenció i protecció per als fills,[ARTICLE TITLE] Dones maltractades reclamen més atenció i protecció per als fills [COMMENT] Dicho de otro modo:  quieren más dinerito.  ,2.0,negative
31,DI20241006115500-20579320,DI20241006115500,Justicia suprema,"10/6/2024, 7:22:59 AM",2024-10-06 07:22:59,La protecció haurien de donar als fills i filles que son els que més pateixen. ,,,,Andorra,Dones maltractades reclamen més atenció i protecció per als fills,[ARTICLE TITLE] Dones maltractades reclamen més atenció i protecció per als fills [COMMENT] La protecció haurien de donar als fills i filles que son els que més pateixen. ,2.0,negative
32,DI20241006115500-20576742,DI20241006115500,quin drama,"10/6/2024, 1:49:37 AM",2024-10-06 01:49:37,Pregunteu als nens de Gaza,,,,Andorra,Dones maltractades reclamen més atenció i protecció per als fills,[ARTICLE TITLE] Dones maltractades reclamen més atenció i protecció per als fills [COMMENT] Pregunteu als nens de Gaza,2.0,negative
33,DI20241006115500-20576179,DI20241006115500,Pel seu nom,"10/6/2024, 12:23:51 AM",2024-10-06 00:23:51,"La violència no té gènere, la veritable xarxa social és la polarització i guerra de sexes induïda per un feminisme radical que és a les agendes polítiques occidentals.",,,,Andorra,Dones maltractades reclamen més atenció i protecció per als fills,"[ARTICLE TITLE] Dones maltractades reclamen més atenció i protecció per als fills [COMMENT] La violència no té gènere, la veritable xarxa social és la polarització i guerra de sexes induïda per un feminisme radical que és a les agendes polítiques occidentals.",3.0,very-negative
34,DI20241006115500-20576086,DI20241006115500,Justicia,"10/6/2024, 12:08:10 AM",2024-10-06 00:08:10,"També calen especialistes per detectar falses denúncies de dones oportunistes i despitades, i una llei contundent contra aquestes males praxis que destrossen la vida dels homes.",,,,Andorra,Dones maltractades reclamen més atenció i protecció per als fills,"[ARTICLE TITLE] Dones maltractades reclamen més atenció i protecció per als fills [COMMENT] També calen especialistes per detectar falses denúncies de dones oportunistes i despitades, i una llei contundent contra aquestes males praxis que destrossen la vida dels homes.",3.0,very-negative
35,DI20241006115500-20575945,DI20241006115500,Judith,"10/5/2024, 11:32:42 PM",2024-10-05 23:32:42,"D 'acord en tot,pero també hi  ha moltes dones que fan agresión contra homes sobretot psicològicament i la llei no els ampara.El sistema hauria de canviar aqui.I també dones alcohòliques i que es a la inversa i la llei no ampara els homes Falten moltes millores.",,,,Andorra,Dones maltractades reclamen més atenció i protecció per als fills,"[ARTICLE TITLE] Dones maltractades reclamen més atenció i protecció per als fills [COMMENT] D 'acord en tot,pero també hi  ha moltes dones que fan agresión contra homes sobretot psicològicament i la llei no els ampara.El sistema hauria de canviar aqui.I també dones alcohòliques i que es a la inversa i la llei no ampara els homes Falten moltes millores.",2.0,negative
36,DI20241006115500-20575824,DI20241006115500,Asimetría penal,"10/5/2024, 11:03:13 PM",2024-10-05 23:03:13,"Per què els homes no es poden acollir a la Llei contra la violència de gènere? Estic en contra la violència en totes les seves formes, inclosa la violència de la legislació contra els homes.",,,,Andorra,Dones maltractades reclamen més atenció i protecció per als fills,"[ARTICLE TITLE] Dones maltractades reclamen més atenció i protecció per als fills [COMMENT] Per què els homes no es poden acollir a la Llei contra la violència de gènere? Estic en contra la violència en totes les seves formes, inclosa la violència de la legislació contra els homes.",2.0,negative
37,DI20241006115500-20575746,DI20241006115500,Ja n'hi ha prou,"10/5/2024, 10:37:38 PM",2024-10-05 22:37:38,Agressius i maltractadors a fer teràpia i treballs socials.,,,,Andorra,Dones maltractades reclamen més atenció i protecció per als fills,[ARTICLE TITLE] Dones maltractades reclamen més atenció i protecció per als fills [COMMENT] Agressius i maltractadors a fer teràpia i treballs socials.,2.0,negative
38,DI20241006115500-20575686,DI20241006115500,Sebas,"10/5/2024, 10:24:20 PM",2024-10-05 22:24:20,"i al reves que? les dones solen ser les que utilitzen els fills com a arma de guerra contra els pares en els processos de separacio en molts casos. El dema drogues i adiccions, homes i dones estan a la par. Igualtat davant la llei i presuncio d inocencia. Respectem els principis legals basics sisplau.",,,,Andorra,Dones maltractades reclamen més atenció i protecció per als fills,"[ARTICLE TITLE] Dones maltractades reclamen més atenció i protecció per als fills [COMMENT] i al reves que? les dones solen ser les que utilitzen els fills com a arma de guerra contra els pares en els processos de separacio en molts casos. El dema drogues i adiccions, homes i dones estan a la par. Igualtat davant la llei i presuncio d inocencia. Respectem els principis legals basics sisplau.",2.0,negative
39,DI20241006115500-20579599,DI20241006115500,Pere,"10/6/2024, 7:51:38 AM",2024-10-06 07:51:38,"Tota la raó, la meva exdona mà denuncia 6 vegades falsament només per treure'm el meus fills. Els hi dóna igual els nens i la justícia no fa res.",20575686,,,Andorra,Dones maltractades reclamen més atenció i protecció per als fills,"[ARTICLE TITLE] Dones maltractades reclamen més atenció i protecció per als fills [COMMENT] Tota la raó, la meva exdona mà denuncia 6 vegades falsament només per treure'm el meus fills. Els hi dóna igual els nens i la justícia no fa res.",3.0,very-negative
40,DI20241006064200-20575855,DI20241006064200,Roser,"10/5/2024, 11:11:28 PM",2024-10-05 23:11:28,Aquesta alegria ningú no ens la treurà ! Gràcies Mn Ramon per ser testimoni de la vida de Jesús pels ciutadans d'Andorra amb tanta constància i originalitat ! ,,,,Andorra,"Passeu, passeu","[ARTICLE TITLE] Passeu, passeu [COMMENT] Aquesta alegria ningú no ens la treurà ! Gràcies Mn Ramon per ser testimoni de la vida de Jesús pels ciutadans d'Andorra amb tanta constància i originalitat ! ",2.0,negative
41,DI20241006062400-20582203,DI20241006062400,Carles,"10/6/2024, 11:35:20 AM",2024-10-06 11:35:20,"Pot ser un descuit, no ho sé, el que si se és que qualsevol dia d'aquestos i després de veure els camions de NordAndorra com circulen per la comarca de l'Alt urgell és que hi haurà alguna desgràcia, van com a salvatges amb els seus trailers, una autèntica vergonya",,,,Andorra,Un bus atropella un home a Príncep Benlloch,"[ARTICLE TITLE] Un bus atropella un home a Príncep Benlloch [COMMENT] Pot ser un descuit, no ho sé, el que si se és que qualsevol dia d'aquestos i després de veure els camions de NordAndorra com circulen per la comarca de l'Alt urgell és que hi haurà alguna desgràcia, van com a salvatges amb els seus trailers, una autèntica vergonya",3.0,very-negative
42,DI20241006062100-20576755,DI20241006062100,Toni,"10/6/2024, 1:52:52 AM",2024-10-06 01:52:52,Welcome to europe ,,,,Andorra,Cotxe robat a Barcelona!,[ARTICLE TITLE] Cotxe robat a Barcelona! [COMMENT] Welcome to europe ,2.0,negative
43,DI20241006062100-20584857,DI20241006062100,AnTonia,"10/6/2024, 3:23:01 PM",2024-10-06 15:23:01,welcome to the city garrulo,20576755,,,Andorra,Cotxe robat a Barcelona!,[ARTICLE TITLE] Cotxe robat a Barcelona! [COMMENT] welcome to the city garrulo,2.0,negative
44,DI20241006053700-20577804,DI20241006053700,Tix,"10/6/2024, 4:23:05 AM",2024-10-06 04:23:05,Felicitats!!!,,,,Andorra,"Toni Bou guanya ""a casa"" el 36è Campionat del Món","[ARTICLE TITLE] Toni Bou guanya ""a casa"" el 36è Campionat del Món [COMMENT] Felicitats!!!",2.0,negative
